business_id,name,city,state,postal_code,latitude,longitude,stars,review_count,is_open,outdoorseating,restaurantsdelivery,restaurantstakeout,restaurantsreservations,businessacceptscreditcards,goodforkids,hastv,caters,wifi,alcohol,restaurantspricerange2,fast_food,casual_dining,fine_dining,bars_nightlife,coffee_dessert,ethnic_food,pizza_italian,healthy_options,seafood,buffet,num_category_groups,days_open,open_weekend
dv4yKRAKfvPGiMqpsSwH6Q,Chili's,Tampa,FL,33607,27.9651539,-82.5048414,3.0,114,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,no,ufull_bar,2.0,0,1,0,1,0,1,0,0,0,0,3,7,1
Y9CWVffIrTYCXE9PVreerQ,SOHA Bar and Grill,Saint Louis,MO,63139,38.6119757,-90.2881053,4.0,193,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,ufree,ufull_bar,2.0,0,0,0,1,0,0,0,0,0,0,1,7,1
UHPzLbr-bwGcChiCKjUTGg,Ra Bar,Edmonton,AB,T6T 0E6,53.5420922,-113.4908783,2.5,7,1,,1.0,1.0,1.0,,,1.0,,ufree,,,0,0,0,1,0,1,0,0,0,0,2,4,1
_HH5CmB4e7uWnck0_MxfTA,Mama Mia’s Italian Restaurant,Wood River,IL,62095,38.8742977361,-90.1000047575,3.5,15,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,no,ubeer_and_wine,1.0,0,0,0,0,0,0,1,0,0,0,1,7,1
AGIKrqh1uMzY-IVsMo7bWQ,Betito's,Tucson,AZ,85741,32.3281039109,-111.0468092,3.5,10,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,none,1.0,1,0,0,0,0,1,0,0,0,0,2,7,1
LAsUSof1hyFhwLMbNctJQA,Meyer's Country Cottage & Irish Pub,Florissant,MO,63033,38.7931575,-90.2639066,4.0,6,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
YOmh25YRJSDuGqt7zjEHEA,Gondola House Pizzeria,Hermitage,TN,37076,36.2146451,-86.596457,4.5,268,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ufree,ubeer_and_wine,2.0,0,0,0,0,0,0,1,0,0,0,1,7,1
rj0XlR3uXbH_pt7UWP3NQg,Xochimex Cantina Grill,Largo,FL,33774,27.879626,-82.8402704,4.0,9,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,unone,,1,0,0,0,0,1,0,0,0,0,2,5,1
ux67v1WmdmKxcs2f3Qyt-Q,Cheerleaders Sports Grill,Boise,ID,83706,43.6058531706,-116.2128145767,1.5,24,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,ufree,full_bar,2.0,0,0,0,1,0,0,0,0,0,0,1,7,1
AVf4RO3bh2AAoZeCiPTQNg,Hattie B's Hot Chicken - Melrose,Nashville,TN,37204,36.1290083209,-86.7775651408,4.5,834,1,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,no,beer_and_wine,2.0,0,1,0,0,0,0,0,0,0,0,1,7,1
7P7nix455SqZ8cDhna9rBQ,Shake Shack,Nashville,TN,37203,36.1611238,-86.7791909,3.0,18,1,1.0,1.0,1.0,,,,,,,,,1,1,0,1,0,0,0,0,0,0,3,7,1
qb28j-FNX1_6xm7u372TZA,Gumbo Shop,New Orleans,LA,70116,29.9577089,-90.064537,4.0,3902,1,,,,0.0,0.0,1.0,0.0,1.0,uno,ufull_bar,2.0,0,0,0,0,0,0,0,0,1,0,1,7,1
Z-BDbsASb0o5Tfgq6Zwe0w,Totai Sushi Express,Edmonton,AB,T5Y 3E7,53.5993383,-113.4000173,3.5,11,1,0.0,1.0,1.0,0.0,,1.0,1.0,,ufree,none,1.0,0,0,0,1,0,1,0,0,0,0,2,6,1
4VGEq2AHUw3uP2L51S8raw,Cafe Scalessas,Wilmington,DE,19805,39.7528645,-75.5790324,3.5,7,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ufree,ufull_bar,2.0,0,0,0,0,0,0,1,0,0,0,1,4,1
woEzdPOYu5KmRHu1NjxKYw,Bottom of the Sea,Philadelphia,PA,19147,39.9422163,-75.1544172,3.0,14,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,uno,ufull_bar,2.0,0,0,0,0,0,0,0,0,1,0,1,6,1
Da1Cc7gaouF_2avorSj-PA,Brew HaHa!,Wilmington,DE,19801,39.74402,-75.54878,3.5,16,0,0.0,,,,1.0,,,,ufree,,2.0,0,0,0,0,1,0,0,0,0,0,1,5,0
EatwITm-LQGosLVhK_jk6w,E Sushi & Grill,Apollo Beach,FL,33572,27.7705219,-82.3911457,4.5,44,1,0.0,0.0,1.0,,1.0,,1.0,1.0,ufree,ubeer_and_wine,,0,0,0,1,0,1,0,0,0,0,2,7,1
nKwlg5V7tmNyYP-BDrDu2w,Goodness Kitchen,Tucson,AZ,85718,32.3220027,-110.9286115,4.0,73,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,ufree,ufull_bar,2.0,0,0,0,1,0,0,0,0,0,0,1,7,1
d5jha0HH4SpUFnWpOMSoog,Jalapeno's Mexican Food,Sparks,NV,89436,39.5828728231,-119.7400109241,4.0,223,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,no,ubeer_and_wine,1.0,0,0,0,0,0,1,0,0,0,0,1,7,1
WYsyWRp12yyxp1QLUnXz4w,Crafty Crab St. Pete,St. Petersburg,FL,33710,27.7975851,-82.7343122,3.5,25,1,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,ufree,ufull_bar,,0,0,0,0,0,0,0,0,1,0,1,7,1
UVlSniAij6XBb4xrh2-emw,Chew Man Chu,Philadelphia,PA,19147,39.9449809,-75.1653129,3.0,42,0,0.0,1.0,1.0,1.0,1.0,0.0,,,,ufull_bar,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NwH5ETXhpibGWsntrXQZhg,Mr Pizza,Philadelphia,PA,19120,40.0358663,-75.1304006,3.0,13,1,0.0,1.0,1.0,0.0,1.0,,1.0,,no,none,2.0,0,0,0,0,0,0,1,0,0,0,1,0,0
hJhqAfuv2n6W6DUwhVjaIw,Sushi Brothers,New Orleans,LA,70130,29.9378256,-90.0758963,4.0,280,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,uno,ufull_bar,2.0,0,0,0,1,0,1,0,0,0,0,2,6,1
RGjzDIO6HlOU3Uo4IqVAww,A King's Cafe,Philadelphia,PA,19141,40.0478626,-75.1439805,3.0,5,1,,1.0,1.0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,7,1
